,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
63,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
64,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Ontario Spring Water Sake Company,43.649921646081026,-79.36007302731126,Brewery
65,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,TD Canada Trust,43.65287100000001,-79.35774349570084,Bank
66,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
67,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
68,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
69,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Percy Park,43.655180204272725,-79.35742132052623,Park
70,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Residence & Conference Centre,43.65304,-79.35704,Hotel
71,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Tori's Bakeshop,43.65313985163237,-79.35665060762287,Bakery
72,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,Tim Hortons Coffee House,43.6566309,-79.3562402,Coffee Shop
73,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
2426,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
2427,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
2428,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
2429,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
2430,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Cooper Koo YMCA,43.65319052672638,-79.35794700053884,Gym / Fitness Center
2431,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
2432,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
2433,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
2434,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
2435,Downtown Toronto,Regent Park,43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
2436,Downtown Toronto,Regent Park,43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
2437,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
2438,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
2439,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.3656572507398,Mexican Restaurant
2440,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
